incident_id,resource,value,type,recommendation
37,SPLITTER,-15.319320211494025,DISCONNECT,Test OTDR
38,PBO,-2.6872073947591417,LOSS_HIGH,Test OTDR
39,SPLITTER,-13.328249334461542,RX_LOW,Inspect connector
40,SPLITTER,-12.586105174886423,LOSS_HIGH,Verify PM/PBO wiring
41,PM,-22.83619618299506,DISCONNECT,Check splice
42,SPLITTER,-9.310439385951923,BREAK,Test OTDR
43,PBO,-23.485243578632822,BREAK,Check splice
44,PBO,-18.39523553264822,LOSS_HIGH,Inspect connector
45,OLT,-0.07394294330227069,BREAK,Inspect connector
46,SPLITTER,-22.752346677620068,DISCONNECT,Verify PM/PBO wiring
47,PM,-27.50946001892985,LOSS_HIGH,Verify PM/PBO wiring
48,SPLITTER,-27.58473425855143,BREAK,Inspect connector
49,PON,2.9274582176087733,RX_LOW,Test OTDR
50,PON,-12.257784671335788,RX_LOW,Check splice
51,PM,-15.670577486404358,DISCONNECT,Replace SFP
52,OLT,-1.6192496647228545,BREAK,Verify PM/PBO wiring
53,OLT,-0.7460925231319386,DISCONNECT,Replace SFP
54,PBO,-18.37331384095384,LOSS_HIGH,Test OTDR
55,PBO,-5.723367988417166,RX_LOW,Verify PM/PBO wiring
56,ONT,-3.010701445183969,LOSS_HIGH,Replace SFP
57,PM,-7.087225959691594,BREAK,Test OTDR
58,SPLITTER,-24.694172381996523,DISCONNECT,Check splice
59,PM,0.6559079230969971,DISCONNECT,Test OTDR
60,ONT,-11.131690654239694,DISCONNECT,Verify PM/PBO wiring
61,PBO,-20.11346507704987,LOSS_HIGH,Inspect connector
62,PM,-15.117013509680714,RX_LOW,Check splice
63,PM,-28.685011836038242,LOSS_HIGH,Replace SFP
64,PBO,-25.524661957215386,LOSS_HIGH,Verify PM/PBO wiring
65,ONT,-3.20586373194487,BREAK,Inspect connector
66,PBO,-29.999592783562186,BREAK,Test OTDR
67,OLT,-15.420196003119774,BREAK,Inspect connector
68,SPLITTER,-11.712143662004404,RX_LOW,Verify PM/PBO wiring
69,PBO,-28.08779529996597,RX_LOW,Verify PM/PBO wiring
70,ONT,4.05773570403165,BREAK,Inspect connector
71,PON,-22.085613406261484,BREAK,Test OTDR
72,OLT,-19.353044812730168,RX_LOW,Inspect connector
73,PON,-19.36201207107404,DISCONNECT,Verify PM/PBO wiring
74,PBO,-21.93541682589275,RX_LOW,Verify PM/PBO wiring
75,OLT,-29.948416226979102,RX_LOW,Replace SFP
76,SPLITTER,-4.472932206920127,RX_LOW,Replace SFP
77,PBO,3.8395924929749867,BREAK,Check splice
78,SPLITTER,-22.149728085023423,DISCONNECT,Verify PM/PBO wiring
79,PM,-6.793348286880214,RX_LOW,Replace SFP
80,PON,-4.03362855644497,BREAK,Inspect connector
81,OLT,-0.30511173183163365,LOSS_HIGH,Test OTDR
82,SPLITTER,-15.207978104523681,LOSS_HIGH,Inspect connector
83,ONT,-19.397418302584978,RX_LOW,Test OTDR
84,SPLITTER,-18.61467030919391,LOSS_HIGH,Replace SFP
85,ONT,-5.058253341552049,DISCONNECT,Check splice
86,PBO,-1.4127186723027378,LOSS_HIGH,Inspect connector
87,OLT,-23.643511128518906,LOSS_HIGH,Inspect connector
88,SPLITTER,-17.017064714478217,DISCONNECT,Inspect connector
89,SPLITTER,1.5679068862202499,RX_LOW,Test OTDR
90,OLT,-1.765726810684125,RX_LOW,Replace SFP
91,SPLITTER,4.470044096686657,DISCONNECT,Inspect connector
92,ONT,-3.6013109111271717,DISCONNECT,Inspect connector
93,SPLITTER,-16.238167964022722,DISCONNECT,Check splice
94,PON,-9.327675810187678,LOSS_HIGH,Check splice
95,PBO,-6.864501101343791,DISCONNECT,Replace SFP
96,PM,-27.25404642890066,BREAK,Replace SFP
97,ONT,-10.942606431364723,LOSS_HIGH,Verify PM/PBO wiring
98,PON,-5.173771003458665,RX_LOW,Check splice
99,PBO,-24.143754359962887,RX_LOW,Verify PM/PBO wiring
100,OLT,-2.677889890105501,RX_LOW,Test OTDR
101,ONT,-9.567952682006094,LOSS_HIGH,Verify PM/PBO wiring
102,PM,3.3277624994158117,BREAK,Inspect connector
103,PBO,-28.51521956275879,DISCONNECT,Verify PM/PBO wiring
104,PM,-20.713585185558657,DISCONNECT,Replace SFP
105,OLT,-8.945614224506159,RX_LOW,Test OTDR
106,OLT,-19.620403072792428,RX_LOW,Inspect connector
107,ONT,-4.995154257506524,LOSS_HIGH,Verify PM/PBO wiring
108,SPLITTER,-3.4348151117324157,BREAK,Test OTDR
109,OLT,-26.411941257673394,DISCONNECT,Test OTDR
110,PBO,-12.015093752763129,LOSS_HIGH,Inspect connector
111,SPLITTER,-12.188830554313043,DISCONNECT,Verify PM/PBO wiring
112,PON,-17.075173042456065,RX_LOW,Test OTDR
113,PM,2.652370189938523,DISCONNECT,Test OTDR
114,SPLITTER,-1.037278804437257,BREAK,Check splice
115,PM,-5.597671633162712,BREAK,Test OTDR
116,SPLITTER,-4.998567749275086,RX_LOW,Check splice
117,PON,-13.83993496654083,BREAK,Verify PM/PBO wiring
118,OLT,2.234808238380154,BREAK,Verify PM/PBO wiring
119,PON,-5.689160046135012,LOSS_HIGH,Verify PM/PBO wiring
120,OLT,-4.485662842046423,DISCONNECT,Replace SFP
121,OLT,0.1591816325570825,RX_LOW,Verify PM/PBO wiring
122,PM,-20.407494373023315,RX_LOW,Test OTDR
123,PBO,-1.752518364665395,RX_LOW,Inspect connector
124,PON,-23.16657889652278,RX_LOW,Check splice
125,SPLITTER,-17.913031671428925,RX_LOW,Replace SFP
126,PON,-18.253634100555505,BREAK,Verify PM/PBO wiring
127,PM,4.248391393619919,LOSS_HIGH,Verify PM/PBO wiring
128,OLT,-0.021197168822560286,RX_LOW,Inspect connector
129,PM,-5.459054844340908,LOSS_HIGH,Inspect connector
130,ONT,-4.553013343461345,LOSS_HIGH,Replace SFP
131,ONT,-10.327452195910013,BREAK,Check splice
132,SPLITTER,3.148173348798167,RX_LOW,Verify PM/PBO wiring
133,PM,-12.630943649117345,BREAK,Replace SFP
134,SPLITTER,-16.681880154553692,RX_LOW,Test OTDR
135,SPLITTER,-24.293763207394313,BREAK,Test OTDR
136,ONT,-2.4828021708629713,LOSS_HIGH,Replace SFP
137,SPLITTER,-4.2944623773543,RX_LOW,Verify PM/PBO wiring
138,ONT,-16.547573651655277,DISCONNECT,Replace SFP
139,OLT,-29.118230511426972,LOSS_HIGH,Verify PM/PBO wiring
140,PM,-0.635093529869625,DISCONNECT,Inspect connector
141,SPLITTER,-29.600370579107423,LOSS_HIGH,Replace SFP
142,ONT,-5.3705077129832155,BREAK,Verify PM/PBO wiring
143,PON,3.9589988404119936,RX_LOW,Replace SFP
144,SPLITTER,-14.681853514812879,LOSS_HIGH,Replace SFP
145,PBO,-21.775930825141653,BREAK,Verify PM/PBO wiring
146,OLT,-5.329514648481641,RX_LOW,Verify PM/PBO wiring
147,OLT,-1.400515029454521,RX_LOW,Check splice
148,PON,-10.874938937275346,LOSS_HIGH,Replace SFP
149,ONT,3.8462346339651177,RX_LOW,Test OTDR
150,SPLITTER,-28.19159474197136,LOSS_HIGH,Replace SFP
151,ONT,-12.332154059341516,RX_LOW,Replace SFP
152,OLT,-4.854111843710747,DISCONNECT,Verify PM/PBO wiring
153,ONT,0.1924164902212624,BREAK,Replace SFP
154,OLT,-23.726053583227348,DISCONNECT,Replace SFP
155,ONT,-1.99987813827115,LOSS_HIGH,Test OTDR
156,PON,-10.655252349850915,DISCONNECT,Verify PM/PBO wiring
157,PM,-16.12062113035129,LOSS_HIGH,Replace SFP
158,PON,-25.389973999731726,RX_LOW,Inspect connector
159,PON,0.285351561811936,RX_LOW,Check splice
160,PM,-24.49543771370996,LOSS_HIGH,Test OTDR
161,PM,-19.157424927681525,DISCONNECT,Replace SFP
162,SPLITTER,-19.84840638131471,RX_LOW,Inspect connector
163,SPLITTER,0.49949119667989805,BREAK,Replace SFP
164,PON,-6.455395202688571,RX_LOW,Replace SFP
165,PON,-2.1161510983019696,BREAK,Verify PM/PBO wiring
166,OLT,-21.233623542262535,DISCONNECT,Verify PM/PBO wiring
167,OLT,-8.12940651375504,BREAK,Verify PM/PBO wiring
168,SPLITTER,-9.988890589968797,BREAK,Inspect connector
169,PBO,-0.850936812410513,BREAK,Replace SFP
170,PBO,1.7130471168441197,BREAK,Check splice
171,SPLITTER,-29.57451299829146,RX_LOW,Test OTDR
172,OLT,-6.409302832942256,BREAK,Verify PM/PBO wiring
173,OLT,-28.185747030809484,RX_LOW,Verify PM/PBO wiring
174,PBO,-10.789946722292541,BREAK,Replace SFP
175,ONT,-19.932854483471264,LOSS_HIGH,Replace SFP
176,ONT,-19.262819016725057,DISCONNECT,Inspect connector
177,OLT,-17.64645237916752,BREAK,Inspect connector
178,ONT,-8.254764283263647,LOSS_HIGH,Verify PM/PBO wiring
179,PM,-18.308251201593077,BREAK,Replace SFP
180,SPLITTER,-4.355533229340185,BREAK,Check splice
181,SPLITTER,-15.841541504914561,BREAK,Test OTDR
182,OLT,-27.60763798915145,LOSS_HIGH,Replace SFP
183,PON,-2.5684055130562484,DISCONNECT,Replace SFP
184,PBO,-19.99845863925529,LOSS_HIGH,Inspect connector
185,OLT,-14.853159214025808,DISCONNECT,Test OTDR
186,ONT,-6.009464087233447,BREAK,Verify PM/PBO wiring
187,PBO,-18.364034499795082,RX_LOW,Replace SFP
188,PON,-28.019502034864953,BREAK,Verify PM/PBO wiring
189,ONT,-16.912763354551522,DISCONNECT,Replace SFP
190,PM,3.0557003943006222,LOSS_HIGH,Verify PM/PBO wiring
191,ONT,-7.539296094550462,BREAK,Test OTDR
192,PM,-6.498229796647756,LOSS_HIGH,Inspect connector
193,PBO,-7.8701246226826065,LOSS_HIGH,Test OTDR
194,PM,-23.035275136419713,LOSS_HIGH,Check splice
195,PBO,-15.358314756420196,BREAK,Inspect connector
196,PBO,-3.7171070572838616,LOSS_HIGH,Test OTDR
197,PBO,-26.45194858563943,LOSS_HIGH,Check splice
198,PBO,-20.275152836860073,BREAK,Replace SFP
199,PBO,-20.328831203695124,LOSS_HIGH,Replace SFP
200,ONT,-14.87933753419229,BREAK,Verify PM/PBO wiring
201,PBO,4.312905932976477,DISCONNECT,Inspect connector
202,ONT,-27.637410866066233,DISCONNECT,Replace SFP
203,PBO,-11.845465196679175,DISCONNECT,Inspect connector
204,PM,-23.722236129572636,LOSS_HIGH,Replace SFP
205,PBO,3.973679089341047,RX_LOW,Verify PM/PBO wiring
206,PON,-26.034377334538753,RX_LOW,Test OTDR
207,PBO,-15.873964917344306,LOSS_HIGH,Verify PM/PBO wiring
208,PBO,-4.174025530788782,RX_LOW,Check splice
209,PM,-5.340595019039416,BREAK,Replace SFP
210,SPLITTER,-15.20449770871237,RX_LOW,Check splice
211,PM,-17.871654121654863,LOSS_HIGH,Check splice
212,PON,-16.08356675064953,LOSS_HIGH,Inspect connector
213,SPLITTER,-20.750330789447624,BREAK,Replace SFP
214,OLT,-22.813347145262007,DISCONNECT,Check splice
215,OLT,-13.09361058543885,LOSS_HIGH,Test OTDR
216,PON,-20.601318537633745,BREAK,Check splice
217,PM,-19.938841728596245,RX_LOW,Test OTDR
218,ONT,-7.0135377783905035,RX_LOW,Inspect connector
219,PON,3.8988066094962264,BREAK,Check splice
220,SPLITTER,-8.872697980421872,BREAK,Verify PM/PBO wiring
221,SPLITTER,-27.30571865272618,LOSS_HIGH,Inspect connector
222,PBO,-27.354573515107656,RX_LOW,Test OTDR
223,OLT,3.299812729594805,BREAK,Inspect connector
224,SPLITTER,-19.594822339243322,RX_LOW,Check splice
225,PON,-26.77765548711336,BREAK,Replace SFP
226,SPLITTER,-9.033439449736644,RX_LOW,Replace SFP
227,PON,-8.172292759840687,DISCONNECT,Test OTDR
228,ONT,-7.302331295845914,LOSS_HIGH,Test OTDR
229,PBO,-20.640929024986054,RX_LOW,Replace SFP
230,OLT,-29.471126052493375,DISCONNECT,Test OTDR
231,SPLITTER,3.7755379309065162,RX_LOW,Inspect connector
232,PON,-21.218743400811412,RX_LOW,Verify PM/PBO wiring
233,PM,-6.339079918160838,DISCONNECT,Verify PM/PBO wiring
234,OLT,-5.267954554245165,RX_LOW,Inspect connector
235,ONT,-8.649740402218,RX_LOW,Verify PM/PBO wiring
236,PON,-19.048241202522313,LOSS_HIGH,Check splice
237,PBO,-20.511631118257696,DISCONNECT,Inspect connector
238,PBO,-9.081610105405392,DISCONNECT,Test OTDR
239,ONT,0.3133471764092022,BREAK,Inspect connector
240,ONT,3.1356805123188423,RX_LOW,Replace SFP
241,PBO,-26.293296845868483,LOSS_HIGH,Test OTDR
242,SPLITTER,-24.580998559079806,RX_LOW,Replace SFP
243,SPLITTER,3.0657690574077847,RX_LOW,Test OTDR
244,PON,-4.221267008282261,BREAK,Verify PM/PBO wiring
245,PM,0.9047838690420562,RX_LOW,Inspect connector
246,PON,-22.90785780526299,LOSS_HIGH,Check splice
247,PM,-9.434494511170936,LOSS_HIGH,Test OTDR
248,ONT,-5.460114195388421,BREAK,Test OTDR
249,OLT,-6.196084009355957,RX_LOW,Replace SFP
250,PON,-15.714690819665567,LOSS_HIGH,Verify PM/PBO wiring
251,PON,-29.461178790804205,RX_LOW,Replace SFP
252,PM,-9.597588011850789,RX_LOW,Replace SFP
253,ONT,-21.141446128713696,RX_LOW,Verify PM/PBO wiring
254,ONT,-14.241101384998839,BREAK,Check splice
255,PM,3.5153355279336083,RX_LOW,Replace SFP
256,ONT,-16.033763882514783,LOSS_HIGH,Replace SFP
257,PBO,-0.606943766745065,RX_LOW,Test OTDR
258,SPLITTER,-23.40107879877621,LOSS_HIGH,Verify PM/PBO wiring
259,PBO,-6.463882569123992,RX_LOW,Inspect connector
260,OLT,4.195243405363023,LOSS_HIGH,Check splice
261,PON,-26.433741469447213,LOSS_HIGH,Check splice
262,OLT,-29.70880202204828,RX_LOW,Verify PM/PBO wiring
263,PON,-14.824602257858498,RX_LOW,Test OTDR
264,SPLITTER,-26.758108093202146,LOSS_HIGH,Test OTDR
265,ONT,-3.8065477613319025,DISCONNECT,Verify PM/PBO wiring
266,PBO,2.0092032346995623,BREAK,Test OTDR
267,PM,-14.80926595519344,DISCONNECT,Check splice
268,PBO,-20.945092524559566,DISCONNECT,Check splice
269,SPLITTER,-14.795883834768658,RX_LOW,Inspect connector
270,OLT,-4.679326375249964,BREAK,Verify PM/PBO wiring
271,PM,-29.683104344687017,DISCONNECT,Replace SFP
272,ONT,-9.3691103680356,RX_LOW,Replace SFP
273,SPLITTER,-8.534791028941733,DISCONNECT,Inspect connector
274,PM,-7.6809113586422555,DISCONNECT,Inspect connector
275,SPLITTER,-21.529227200669297,RX_LOW,Test OTDR
276,SPLITTER,-5.008154681765564,RX_LOW,Inspect connector
277,ONT,-26.801297978387826,RX_LOW,Inspect connector
278,PON,-23.02553822366197,BREAK,Replace SFP
279,PM,0.7114516329068685,DISCONNECT,Test OTDR
280,ONT,-4.144689724570178,RX_LOW,Inspect connector
281,SPLITTER,-29.518905609602918,LOSS_HIGH,Inspect connector
282,ONT,-21.306830887056993,DISCONNECT,Test OTDR
283,PON,-22.49577309523924,LOSS_HIGH,Verify PM/PBO wiring
284,PBO,-20.521778518705958,BREAK,Test OTDR
285,PM,-21.335408040203976,RX_LOW,Replace SFP
286,PON,-27.8115796490004,LOSS_HIGH,Verify PM/PBO wiring
287,OLT,-13.93708191911129,BREAK,Check splice
288,PM,-4.354328382484219,RX_LOW,Test OTDR
289,PON,-8.764389634889724,LOSS_HIGH,Replace SFP
290,SPLITTER,-6.449491599067208,LOSS_HIGH,Verify PM/PBO wiring
291,PM,-27.15977875123163,BREAK,Test OTDR
292,PM,3.3021748561875555,RX_LOW,Inspect connector
293,ONT,-0.6527858154941306,RX_LOW,Test OTDR
294,SPLITTER,-1.8218388526518048,LOSS_HIGH,Check splice
295,OLT,-1.1955668235381367,LOSS_HIGH,Test OTDR
296,PBO,2.6448677846466495,LOSS_HIGH,Verify PM/PBO wiring
297,PON,-10.95111118602058,RX_LOW,Verify PM/PBO wiring
298,ONT,-22.990129374633092,BREAK,Test OTDR
299,PON,-8.41257372516106,BREAK,Verify PM/PBO wiring
300,OLT,-3.999147721622137,RX_LOW,Inspect connector
